LifeStyle,IHD,Diabetes,PD,AD,Hypertension,Cancer,Emphysema,CKDs,Rheumatoid_arthritis,Macular_degeneration,Osteoporosis,Osteoarthritis
Smoking,0.20651,0.23883,0.88261,0.50908,0.24869,0.66374,0.19229,0.18075,0.96834,0.00837,0.21517,0.31757
Drink,0.76069,0.7719,1.0,1.11022e-15,0.56073,0.32293,0.09132,0.79321,0.84584,0.94314,0.47515,0.99801
Behavior,0.65143,0.74708,1.0,0.3161,0.56504,0.46543,0.3594,0.09499,0.59067,0.62643,0.51495,0.99377
Sport,0.0324,0.70689,1.0,0.70966,0.59613,0.56344,0.76405,0.91591,0.02371,1.0,0.17245,0.60401
Sleep,0.15402,0.12849,0.8806,0.40482,0.41319,0.19969,0.37002,0.57224,6.21792e-12,0.904,0.73612,0.98652
Weight,0.02873,0.62241,1.0,0.22581,0.81991,0.66383,0.47725,0.69282,0.31989,1.0,1.0,1.0
Diet,0.11169,0.23516,0.5724,2.70450328798688e-13,0.86293,0.16956,0.66297,0.89463,0.1796,0.86223,0.01743,0.12835
Distress,0.73738,0.75234,0.68098,0.57469,0.30352,0.45828,0.20028,0.59615,0.5657,1.0,0.15476,0.11542
Social,0.98255,0.6148,0.15595,0.86501,0.65285,0.63423,0.33884,0.21952,9.35748e-07,0.75397,0.84065,0.42742
