Screen,SR-Pearson,Prot,Met
Top50,0.9022,49,1
Top100,0.91534,95,5
Top200,0.92404,190,10
Top300,0.92756,286,14
Top400,0.92878,382,18
Top500,0.92982,470,30
Top600,0.93032,561,39
Top700,0.93078,657,43
Top800,0.93132,750,50
