Model,r-AVG,r1,r2,r3,r4,r5
Met,0.5314,0.5285,0.5334,0.5176,0.5354,0.5421
Prot,0.85504,0.853,0.8451,0.861,0.8592,0.8569
Met+Prot,0.92756,0.925,0.9274,0.9286,0.9286,0.9282
